INSERT INTO tickets
VALUES 
    (34  ,1  ),
    (43  ,1  ),
    (27  ,1  ),
    (47  ,1  ),
    (44  ,1  ),
    (13  ,1  ),
    (33  ,1  ),
    (35  ,1  ),
    (2   ,1  ),
    (36  ,1  ),
    (23  ,1  ),
    (2   ,1  ),
    (36  ,1  ),
    (40  ,1  ),
    (11  ,1  ),
    (15  ,1  ),
    (17  ,1  ),
    (19  ,1  ),
    (11  ,1  ),
    (40  ,2  ),
    (36  ,2  ),
    (26  ,2  ),
    (50  ,2  ),
    (31  ,2  ),
    (7   ,2  ),
    (13  ,2  ),
    (7   ,2  ),
    (19  ,2  ),
    (50  ,2  ),
    (20  ,2  ),
    (37  ,2  ),
    (41  ,2  ),
    (20  ,2  ),
    (17  ,2  ),
    (9   ,2  ),
    (16  ,2  ),
    (25  ,2  ),
    (2   ,2  ),
    (3   ,3  ),
    (2   ,3  ),
    (5   ,3  ),
    (14  ,3  ),
    (42  ,3  ),
    (30  ,3  ),
    (17  ,3  ),
    (2   ,3  ),
    (43  ,3  ),
    (11  ,3  ),
    (4   ,3  ),
    (11  ,3  ),
    (20  ,3  ),
    (25  ,3  ),
    (44  ,3  ),
    (15  ,3  ),
    (2   ,3  ),
    (50  ,3  ),
    (3   ,3  ),
    (20  ,4  ),
    (28  ,4  ),
    (13  ,4  ),
    (20  ,4  ),
    (46  ,4  ),
    (27  ,4  ),
    (38  ,4  ),
    (39  ,4  ),
    (33  ,4  ),
    (18  ,4  ),
    (20  ,4  ),
    (49  ,4  ),
    (32  ,4  ),
    (8   ,4  ),
    (11  ,4  ),
    (34  ,4  ),
    (6   ,4  ),
    (16  ,4  ),
    (36  ,4  ),
    (35  ,5  ),
    (20  ,5  ),
    (49  ,5  ),
    (49  ,5  ),
    (30  ,5  ),
    (45  ,5  ),
    (42  ,5  ),
    (25  ,5  ),
    (45  ,5  ),
    (10  ,5  ),
    (10  ,5  ),
    (10  ,5  ),
    (30  ,5  ),
    (38  ,5  ),
    (41  ,5  ),
    (36  ,5  ),
    (10  ,5  ),
    (15  ,5  ),
    (21  ,5  ),
    (29  ,6  ),
    (4   ,6  ),
    (48  ,6  ),
    (19  ,6  ),
    (35  ,6  ),
    (5   ,6  ),
    (35  ,6  ),
    (6   ,6  ),
    (40  ,6  ),
    (26  ,6  ),
    (36  ,6  ),
    (18  ,6  ),
    (6   ,6  ),
    (10  ,6  ),
    (47  ,6  ),
    (32  ,6  ),
    (24  ,6  ),
    (27  ,6  ),
    (12  ,6  ),
    (38  ,7  ),
    (1   ,7  ),
    (16  ,7  ),
    (25  ,7  ),
    (50  ,7  ),
    (44  ,7  ),
    (26  ,7  ),
    (15  ,7  ),
    (49  ,7  ),
    (49  ,7  ),
    (16  ,7  ),
    (22  ,7  ),
    (37  ,7  ),
    (33  ,7  ),
    (2   ,7  ),
    (4   ,7  ),
    (24  ,7  ),
    (47  ,7  ),
    (42  ,7  ),
    (49  ,8  ),
    (48  ,8  ),
    (28  ,8  ),
    (44  ,8  ),
    (30  ,8  ),
    (39  ,8  ),
    (34  ,8  ),
    (16  ,8  ),
    (41  ,8  ),
    (47  ,8  ),
    (48  ,8  ),
    (10  ,8  ),
    (24  ,8  ),
    (8   ,8  ),
    (14  ,8  ),
    (12  ,8  ),
    (21  ,8  ),
    (46  ,8  ),
    (46  ,8  ),
    (29  ,9  ),
    (3   ,9  ),
    (18  ,9  ),
    (30  ,9  ),
    (15  ,9  ),
    (19  ,9  ),
    (11  ,9  ),
    (29  ,9  ),
    (8   ,9  ),
    (5   ,9  ),
    (14  ,9  ),
    (41  ,9  ),
    (42  ,9  ),
    (36  ,9  ),
    (49  ,9  ),
    (5   ,9  ),
    (19  ,9  ),
    (42  ,9  ),
    (12  ,9  ),
    (10  ,10 ),
    (44  ,10 ),
    (12  ,10 ),
    (18  ,10 ),
    (44  ,10 ),
    (45  ,10 ),
    (21  ,10 ),
    (25  ,10 ),
    (26  ,10 ),
    (40  ,10 ),
    (3   ,10 ),
    (19  ,10 ),
    (38  ,10 ),
    (28  ,10 ),
    (43  ,10 ),
    (48  ,10 ),
    (43  ,10 ),
    (14  ,10 ),
    (47  ,10 ),
    (35  ,11 ),
    (21  ,11 ),
    (13  ,11 ),
    (44  ,11 ),
    (2   ,11 ),
    (9   ,11 ),
    (39  ,11 ),
    (13  ,11 ),
    (8   ,11 ),
    (9   ,11 ),
    (19  ,11 ),
    (37  ,11 ),
    (18  ,11 ),
    (32  ,11 ),
    (30  ,11 ),
    (6   ,11 ),
    (35  ,11 ),
    (38  ,11 ),
    (29  ,11 ),
    (2   ,12 ),
    (24  ,12 ),
    (32  ,12 ),
    (2   ,12 ),
    (37  ,12 ),
    (27  ,12 ),
    (37  ,12 ),
    (11  ,12 ),
    (29  ,12 ),
    (30  ,12 ),
    (19  ,12 ),
    (39  ,12 ),
    (24  ,12 ),
    (20  ,12 ),
    (19  ,12 ),
    (13  ,12 ),
    (25  ,12 ),
    (36  ,12 ),
    (18  ,12 ),
    (11  ,13 ),
    (2   ,13 ),
    (23  ,13 ),
    (12  ,13 ),
    (24  ,13 ),
    (37  ,13 ),
    (34  ,13 ),
    (4   ,13 ),
    (21  ,13 ),
    (3   ,13 ),
    (22  ,13 ),
    (28  ,13 ),
    (48  ,13 ),
    (26  ,13 ),
    (2   ,13 ),
    (12  ,13 ),
    (16  ,13 ),
    (18  ,13 ),
    (28  ,13 ),
    (9   ,14 ),
    (6   ,14 ),
    (46  ,14 ),
    (34  ,14 ),
    (36  ,14 ),
    (19  ,14 ),
    (15  ,14 ),
    (24  ,14 ),
    (28  ,14 ),
    (47  ,14 ),
    (28  ,14 ),
    (3   ,14 ),
    (33  ,14 ),
    (44  ,14 ),
    (23  ,14 ),
    (32  ,14 ),
    (45  ,14 ),
    (14  ,14 ),
    (38  ,14 ),
    (43  ,15 ),
    (49  ,15 ),
    (24  ,15 ),
    (39  ,15 ),
    (20  ,15 ),
    (25  ,15 ),
    (19  ,15 ),
    (9   ,15 ),
    (44  ,15 ),
    (10  ,15 ),
    (1   ,15 ),
    (40  ,15 ),
    (24  ,15 ),
    (2   ,15 ),
    (12  ,15 ),
    (3   ,15 ),
    (39  ,15 ),
    (46  ,15 ),
    (50  ,15 ),
    (38  ,16 ),
    (14  ,16 ),
    (50  ,16 ),
    (28  ,16 ),
    (26  ,16 ),
    (38  ,16 ),
    (29  ,16 ),
    (36  ,16 ),
    (39  ,16 ),
    (49  ,16 ),
    (47  ,16 ),
    (18  ,16 ),
    (40  ,16 ),
    (48  ,16 ),
    (37  ,16 ),
    (46  ,16 ),
    (41  ,16 ),
    (1   ,16 ),
    (21  ,16 ),
